Name,location,stipend,company_id,skills,hiring
Nine Tours,"
Jaisalmer ","₹ 8,000 - 10,000 ",34,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Nine Tours,"
Dharamshala ","₹ 8,000 - 10,000 ",35,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Sabai Innovations,"
Jaipur ","₹ 10,000 - 25,000 ",36,"['MS-Excel', 'Affiliate Marketing', 'Artificial intelligence', 'Effective Communication', 'Email Management', 'Google Sheets']",Actively hiring
Nine Tours,"
Alappuzha ","₹ 8,000 - 10,000 ",37,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
O2 Designs,"
Nashik ","₹ 8,000 - 15,000 ",38,"['Video Editing', 'Adobe Premiere Pro', 'Adobe After Effects', 'Color Theory']",Actively hiring
Nine Tours,"
Jodhpur ","₹ 8,000 - 10,000 ",39,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Nine Tours,"
Indore ","₹ 8,000 - 10,000 ",40,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Yart Technologies Pvt Ltd,"
Indore ","₹ 4,000 - 8,000 ",41,"['Social Media Marketing', 'Digital Marketing', 'Facebook Marketing', 'Creative Writing', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Instagram Marketing']",Actively hiring
Deepiotics Private Limited,"
Indore ","₹ 9,000 ",42,"['Interpersonal skills', 'Effective Communication']",Actively hiring
Nine Tours,"
Mysuru ","₹ 8,000 - 10,000 ",43,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Maxleben Advisory,"
Mohali ","₹ 7,000 ",44,"['Networking', 'Coordination', 'Teamwork', 'Sales Management', 'Business Development', 'Interpersonal skills', 'Effective Communication']",Actively hiring
School Of Integral Life Skills (SOILS),"
Ahmedabad                                                                (Hybrid)
                                        


","₹ 7,000 - 12,000 ",45,"['Adobe Photoshop', 'Adobe Illustrator', 'User Interface (UI) Development', 'UI & UX Design', 'Figma']",Actively hiring
Yoodesk Office Solutions,"
Nagpur                                                                (Hybrid)
                                        


","₹ 11,000 - 21,000 ",46,"['Video Editing', 'Videography', 'Video Making']",Actively hiring
Bilateral Solutions Private Limited,"
Mandi, Himachal Pradesh ","₹ 10,000 - 12,000 ",47,"['Python', 'ARM Microcontroller', 'Raspberry Pi', 'Embedded Systems', 'Arduino', 'C Programming', 'C++ Programming']",Actively hiring
Brilliant Approach Private Limited,"
Ahmedabad ","₹ 7,000 - 10,000 ",48,"['MS-Office', 'Accounting', 'Tally', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)']",Actively hiring
Nine Tours,"
Bhubaneswar ","₹ 8,000 - 10,000 ",49,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Capstone Secure Solutions,"
Kochi ","₹ 9,000 - 10,000 ",0,['MS-Word'],Actively hiring
Nine Tours,"
Coimbatore, Coimbatore North, Coimbatore South ","₹ 8,000 - 10,000 ",1,"['Time Management', 'English Proficiency (Spoken)', 'Effective Communication']",Actively hiring
Pikorua Realty,"
Ahmedabad ","₹ 9,000 - 14,000 ",2,"['Client Interaction', 'Human Resources', 'Client Relationship', 'Sales Support', 'Interpersonal skills', 'Sales', 'Marketing']",Actively hiring
Hairdrama.com,"
Ahmedabad ","₹ 10,000 - 25,000 ",3,"['Social Media Marketing', 'Canva']",Actively hiring
